  For t = -652, found 58 pairs
  For t = -560, found 356 pairs
  For t = -559, found 76 pairs
  For t = -467, found 264 pairs
  For t = -466, found 120 pairs
  For t = -374, found 230 pairs
  For t = -373, found 228 pairs
  For t = -281, found 194 pairs
  For t = -280, found 286 pairs
  For t = -188, found 144 pairs
  For t = -187, found 392 pairs
  For t = -95, found 44 pairs
  For t = -94, found 362 pairs
  For t = -1, found 444 pairs
  For t = 92, found 396 pairs
  For t = 93, found 46 pairs
  For t = 185, found 298 pairs
  For t = 186, found 119 pairs
  For t = 278, found 254 pairs
  For t = 279, found 164 pairs
  For t = 371, found 208 pairs
  For t = 372, found 252 pairs
  For t = 464, found 170 pairs
  For t = 465, found 300 pairs
  For t = 557, found 98 pairs
  For t = 558, found 358 pairs
  For t = 650, found 50 pairs
  For t = 651, found 450 pairs
  For t = 744, found 444 pairs
  For t = 745, found 34 pairs
  For t = 837, found 410 pairs
  For t = 838, found 96 pairs
  For t = 930, found 338 pairs
  For t = 931, found 134 pairs
  For t = 1023, found 260 pairs
  For t = 1024, found 210 pairs
  For t = 1116, found 162 pairs
  For t = 1117, found 260 pairs
  For t = 1209, found 116 pairs
  For t = 1210, found 294 pairs
  For t = 1302, found 90 pairs
  For t = 1303, found 372 pairs
  For t = 1395, found 6 pairs
  For t = 1396, found 434 pairs
  For t = 1489, found 384 pairs
  For t = 1490, found 46 pairs
  For t = 1582, found 362 pairs
  For t = 1583, found 130 pairs
  For t = 1675, found 289 pairs
  For t = 1676, found 162 pairs
  For t = 1768, found 214 pairs
  For t = 1769, found 242 pairs
  For t = 1861, found 168 pairs
  For t = 1862, found 308 pairs
  For t = 1954, found 114 pairs
  For t = 1955, found 310 pairs
  For t = 2047, found 38 pairs
  For t = 2048, found 414 pairs
  For t = 2141, found 410 pairs
  For t = 2142, found 26 pairs
  For t = 2234, found 440 pairs
  For t = 2235, found 76 pairs
  For t = 2327, found 310 pairs
  For t = 2328, found 120 pairs
  For t = 2420, found 259 pairs
  For t = 2421, found 186 pairs
  For t = 2513, found 210 pairs
  For t = 2514, found 294 pairs
  For t = 2606, found 138 pairs
  For t = 2607, found 334 pairs
  For t = 2699, found 74 pairs
  For t = 2700, found 368 pairs
  For t = 2792, found 22 pairs
  For t = 2793, found 432 pairs
  For t = 2886, found 452 pairs
  For t = 2887, found 44 pairs
  For t = 2979, found 420 pairs
  For t = 2980, found 124 pairs
  For t = 3072, found 312 pairs
  For t = 3073, found 182 pairs
  For t = 3165, found 234 pairs
  For t = 3166, found 256 pairs
  For t = 3258, found 166 pairs
  For t = 3259, found 336 pairs
  For t = 3351, found 120 pairs
  For t = 3352, found 368 pairs
  For t = 3444, found 42 pairs
  For t = 3445, found 450 pairs
  For t = 3538, found 436 pairs
  For t = 3539, found 10 pairs
  For t = 3631, found 366 pairs
